Human Timestamp,Unix Time,Microseconds,System Failure,Accelerometer Failure,Gyroscope Failure,Magnetometer Failure,Pressure Failure,GNSS Failure,Accelerometer Overrange,Gyroscope Overrange,Magnetometer Overrange,Pressure Overrange,Minimum Temperature,Maximum Temperature,Low Voltage,High Voltage,GNSS Antenna Disconnected,Data Overflow,Orientation Ready,Navigation Ready,Heading Ready,Time Ready,GNSS Fix Type,Event 1 Flag,Event 2 Flag,Internal GNSS Enabled,Magnetic Heading Enabled,Velocity Heading Enabled,Atmospheric Altitude Enabled,External Position Active,External Velocity Active,External Heading Active
Sat Apr 10 16:57:27 CST 2021,1618045047,680000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:28 CST 2021,1618045048,701000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:29 CST 2021,1618045049,713000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:30 CST 2021,1618045050,761000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:31 CST 2021,1618045051,782000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:32 CST 2021,1618045052,808000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:33 CST 2021,1618045053,809000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:34 CST 2021,1618045054,812000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:35 CST 2021,1618045055,870000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:36 CST 2021,1618045056,872000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:37 CST 2021,1618045057,897000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:38 CST 2021,1618045058,906000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:39 CST 2021,1618045059,916000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:40 CST 2021,1618045060,966000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:41 CST 2021,1618045061,986000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:43 CST 2021,1618045063,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:44 CST 2021,1618045064,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:45 CST 2021,1618045065,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:46 CST 2021,1618045066,52000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:47 CST 2021,1618045067,84000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:48 CST 2021,1618045068,112000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:49 CST 2021,1618045069,123000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:50 CST 2021,1618045070,147000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:51 CST 2021,1618045071,171000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:52 CST 2021,1618045072,204000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:53 CST 2021,1618045073,215000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:54 CST 2021,1618045074,222000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:55 CST 2021,1618045075,252000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:56 CST 2021,1618045076,283000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:57 CST 2021,1618045077,293000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:58 CST 2021,1618045078,307000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:57:59 CST 2021,1618045079,334000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:58:00 CST 2021,1618045080,357000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:58:01 CST 2021,1618045081,380000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:58:02 CST 2021,1618045082,407000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:58:03 CST 2021,1618045083,405000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
Sat Apr 10 16:58:04 CST 2021,1618045084,433000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,0,1,1,1,1,0,0,0
